DateDim[Accident_Date],DateDim[Time__24hr],DateDim[DateID],DateDim[Year],DateDim[Month],DateDim[MonthName]
2020-05-01,12:15,159,2020,5,May
2020-05-05,16:28,160,2020,5,May
2020-05-07,15:1,161,2020,5,May
2020-05-07,14:4,162,2020,5,May
2020-05-09,10:3,163,2020,5,May
2020-05-11,16:46,164,2020,5,May
2020-05-11,19:58,165,2020,5,May
2020-05-12,11,166,2020,5,May
2020-05-17,23,167,2020,5,May
2020-05-18,22:4,168,2020,5,May
2020-05-20,12:29,169,2020,5,May
2020-05-20,15:11,170,2020,5,May
2020-05-21,20:09,171,2020,5,May
2020-05-25,19:3,172,2020,5,May
2020-05-31,13,173,2020,5,May
2020-06-02,10:47,174,2020,6,June
2020-06-04,23:2,175,2020,6,June
2020-06-06,9:05,176,2020,6,June
2020-06-06,10,177,2020,6,June
2020-06-06,16:3,178,2020,6,June
2020-06-10,16:12,179,2020,6,June
2020-06-12,19:53,180,2020,6,June
2020-06-13,15:19,181,2020,6,June
2020-06-14,18:15,182,2020,6,June
2020-06-16,13:27,183,2020,6,June
2020-06-17,12:31,184,2020,6,June
2020-06-17,16:14,185,2020,6,June
2020-06-18,14:28,186,2020,6,June
2020-06-20,16:11,187,2020,6,June
2020-06-23,15:4,188,2020,6,June
2020-06-23,18,189,2020,6,June
2020-06-24,18:14,190,2020,6,June
2020-06-24,16:5,191,2020,6,June
2020-06-26,10:2,192,2020,6,June
2020-06-28,12:14,193,2020,6,June
2020-07-01,18:5,194,2020,7,July
2020-07-03,21:55,195,2020,7,July
2020-07-04,11:3,196,2020,7,July
2020-07-05,10:3,197,2020,7,July
2020-07-05,15:3,198,2020,7,July
2020-07-06,14,199,2020,7,July
